zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
95126,37.32687,-121.91677,San Jose,CA,California,TRUE,,38239,4450.3,6085,Santa Clara,"{""06085"": 100}",Santa Clara,6085,FALSE,FALSE,America/Los_Angeles
95127,37.37453,-121.78733,San Jose,CA,California,TRUE,,61091,1239.4,6085,Santa Clara,"{""06085"": 100}",Santa Clara,6085,FALSE,FALSE,America/Los_Angeles
95128,37.31579,-121.93647,San Jose,CA,California,TRUE,,33585,3298.9,6085,Santa Clara,"{""06085"": 100}",Santa Clara,6085,FALSE,FALSE,America/Los_Angeles
95129,37.30597,-122.00072,San Jose,CA,California,TRUE,,40896,3460.4,6085,Santa Clara,"{""06085"": 100}",Santa Clara,6085,FALSE,FALSE,America/Los_Angeles
95130,37.28803,-121.98146,San Jose,CA,California,TRUE,,13491,3619.8,6085,Santa Clara,"{""06085"": 100}",Santa Clara,6085,FALSE,FALSE,America/Los_Angeles
95131,37.38729,-121.89793,San Jose,CA,California,TRUE,,30745,2055.4,6085,Santa Clara,"{""06085"": 100}",Santa Clara,6085,FALSE,FALSE,America/Los_Angeles
95132,37.41994,-121.79059,San Jose,CA,California,TRUE,,39605,559,6085,Santa Clara,"{""06085"": 100}",Santa Clara,6085,FALSE,FALSE,America/Los_Angeles
95133,37.37171,-121.86057,San Jose,CA,California,TRUE,,28561,3381.2,6085,Santa Clara,"{""06085"": 100}",Santa Clara,6085,FALSE,FALSE,America/Los_Angeles
95134,37.43003,-121.94528,San Jose,CA,California,TRUE,,30255,1080.8,6085,Santa Clara,"{""06085"": 100}",Santa Clara,6085,FALSE,FALSE,America/Los_Angeles
95135,37.22285,-121.55913,San Jose,CA,California,TRUE,,20503,61.2,6085,Santa Clara,"{""06085"": 100}",Santa Clara,6085,FALSE,FALSE,America/Los_Angeles
95136,37.27192,-121.85237,San Jose,CA,California,TRUE,,47157,3499.2,6085,Santa Clara,"{""06085"": 100}",Santa Clara,6085,FALSE,FALSE,America/Los_Angeles
95138,37.2462,-121.73287,San Jose,CA,California,TRUE,,19513,289.4,6085,Santa Clara,"{""06085"": 100}",Santa Clara,6085,FALSE,FALSE,America/Los_Angeles
95139,37.22489,-121.76393,San Jose,CA,California,TRUE,,7113,2278.8,6085,Santa Clara,"{""06085"": 100}",Santa Clara,6085,FALSE,FALSE,America/Los_Angeles
95140,37.3483,-121.64085,Mount Hamilton,CA,California,TRUE,,41,0.2,6085,Santa Clara,"{""06085"": 100}",Santa Clara,6085,FALSE,FALSE,America/Los_Angeles
95148,37.33252,-121.78142,San Jose,CA,California,TRUE,,45392,2223.4,6085,Santa Clara,"{""06085"": 100}",Santa Clara,6085,FALSE,FALSE,America/Los_Angeles
95202,37.95968,-121.28772,Stockton,CA,California,TRUE,,6426,2340.3,6077,San Joaquin,"{""06077"": 100}",San Joaquin,6077,FALSE,FALSE,America/Los_Angeles
95203,37.95237,-121.33098,Stockton,CA,California,TRUE,,16628,1041.4,6077,San Joaquin,"{""06077"": 100}",San Joaquin,6077,FALSE,FALSE,America/Los_Angeles
95204,37.97403,-121.31906,Stockton,CA,California,TRUE,,31028,2259.5,6077,San Joaquin,"{""06077"": 100}",San Joaquin,6077,FALSE,FALSE,America/Los_Angeles
95205,37.96425,-121.25955,Stockton,CA,California,TRUE,,39154,1681.3,6077,San Joaquin,"{""06077"": 100}",San Joaquin,6077,FALSE,FALSE,America/Los_Angeles
95206,37.8961,-121.41051,Stockton,CA,California,TRUE,,67501,195.6,6077,San Joaquin,"{""06077"": 100}",San Joaquin,6077,FALSE,FALSE,America/Los_Angeles
95207,38.00242,-121.325,Stockton,CA,California,TRUE,,52441,2794.4,6077,San Joaquin,"{""06077"": 100}",San Joaquin,6077,FALSE,FALSE,America/Los_Angeles
95209,38.04717,-121.35121,Stockton,CA,California,TRUE,,46567,2182.5,6077,San Joaquin,"{""06077"": 100}",San Joaquin,6077,FALSE,FALSE,America/Los_Angeles
95210,38.03215,-121.29782,Stockton,CA,California,TRUE,,42103,2137.8,6077,San Joaquin,"{""06077"": 100}",San Joaquin,6077,FALSE,FALSE,America/Los_Angeles
95211,37.98078,-121.31198,Stockton,CA,California,TRUE,,1190,4656.9,6077,San Joaquin,"{""06077"": 100}",San Joaquin,6077,FALSE,FALSE,America/Los_Angeles
95212,38.04897,-121.22684,Stockton,CA,California,TRUE,,28013,510.6,6077,San Joaquin,"{""06077"": 100}",San Joaquin,6077,FALSE,FALSE,America/Los_Angeles
95215,37.9444,-121.15276,Stockton,CA,California,TRUE,,26032,108.3,6077,San Joaquin,"{""06077"": 100}",San Joaquin,6077,FALSE,FALSE,America/Los_Angeles
95219,38.0207,-121.51584,Stockton,CA,California,TRUE,,31200,103.1,6077,San Joaquin,"{""06077"": 80.4, ""06013"": 19.6}",San Joaquin|Contra Costa,06077|06013,FALSE,FALSE,America/Los_Angeles
95220,38.19779,-121.23603,Acampo,CA,California,TRUE,,7958,52.9,6077,San Joaquin,"{""06077"": 100}",San Joaquin,6077,FALSE,FALSE,America/Los_Angeles
95221,38.0724,-120.54852,Altaville,CA,California,TRUE,,164,273.5,6009,Calaveras,"{""06009"": 100}",Calaveras,6009,FALSE,FALSE,America/Los_Angeles
95222,38.06127,-120.61791,Angels Camp,CA,California,TRUE,,5666,14.4,6009,Calaveras,"{""06009"": 100}",Calaveras,6009,FALSE,FALSE,America/Los_Angeles
